[2025-03-29 14:12:40] emma.dupont@email.com has successfully logged in. (ID: 67dc9dfc5978d) (127.0.0.1)
[2025-03-30 14:43:07] alexis.perrot@email.com has successfully logged in. (ID: 67dc9f97bc7c6) (127.0.0.1)
[2025-03-30 14:49:28] alexis.perrot@email.com has successfully logged in. (ID: 67dc9f97bc7c6) (127.0.0.1)
[2025-03-30 14:50:34] lucas.martin@email.com has successfully logged in. (ID: 67dc9dcab2e47) (127.0.0.1)
[2025-03-30 14:54:24] lea.moreau@email.com has successfully logged in. (ID: 67dc9e2da4621) (127.0.0.1)
[2025-03-30 15:13:09] manon.fournier@email.com has successfully logged in. (ID: 67dc9f1498400) (127.0.0.1)
[2025-03-30 15:14:46] manon.fournier@email.com has successfully logged in. (ID: 67dc9f1498400) (127.0.0.1)
[2025-03-30 15:15:46] sarah.mercier@email.com has successfully logged in. (ID: 67dc9f61a936d) (127.0.0.1)
[2025-03-30 15:21:03] justine.blanchard@email.com has successfully logged in. (ID: 67dc9feb99f64) (127.0.0.1)
[2025-03-30 15:25:22] justine.blanchard@email.com has successfully logged in. (ID: 67dc9feb99f64) (127.0.0.1)
[2025-03-30 15:26:40] justine.blanchard@email.com has successfully logged in. (ID: 67dc9feb99f64) (127.0.0.1)
[2025-03-30 15:28:30] justine.blanchard@email.com has successfully logged in. (ID: 67dc9feb99f64) (127.0.0.1)
[2025-03-30 15:28:55] justine.blanchard@email.com has successfully logged in. (ID: 67dc9feb99f64) (127.0.0.1)
[2025-03-30 15:29:48] justine.blanchard@email.com has successfully logged in. (ID: 67dc9feb99f64) (127.0.0.1)
[2025-03-30 15:32:58] justine.blanchard@email.com has successfully logged in. (ID: 67dc9feb99f64) (127.0.0.1)
[2025-03-30 15:33:55] justine.blanchard@email.com has successfully logged in. (ID: 67dc9feb99f64) (127.0.0.1)
[2025-03-30 15:34:55] justine.blanchard@email.com has successfully logged in. (ID: 67dc9feb99f64) (127.0.0.1)
[2025-03-30 15:35:21] justine.blanchard@email.com has successfully logged in. (ID: 67dc9feb99f64) (127.0.0.1)
[2025-03-30 16:24:59] sarah.mercier@email.com has successfully logged in. (ID: 67dc9f61a936d) (127.0.0.1)
[2025-03-30 17:23:42] justine.blanchard@email.com has successfully logged in. (ID: 67dc9feb99f64) (127.0.0.1)
[2025-03-30 20:43:51] justine.blanchard@email.com has successfully logged in. (ID: 67dc9feb99f64) (127.0.0.1)
[2025-04-11 00:39:40] sarah.mercier@email.com has successfully logged in. (ID: 67dc9f61a936d) (127.0.0.1)
[2025-04-14 18:59:23] justine.blanchard@email.com has successfully logged in. (ID: 67dc9feb99f64) (127.0.0.1)
[2025-04-14 22:24:10] sarah.mercier@email.com has successfully logged in. (ID: 67dc9f61a936d) (127.0.0.1)
[2025-04-14 22:52:12] justine.blanchard@email.com has successfully logged in. (ID: 67dc9feb99f64) (127.0.0.1)
[2025-04-25 01:01:02] justine.blanchard@email.com has successfully logged in. (ID: 67dc9feb99f64) (127.0.0.1)
[2025-04-25 01:22:52] justine.blanchard@email.com has successfully logged in. (ID: 67dc9feb99f64) (127.0.0.1)
